candle_time,open,high,low,close,volume
2013/3/31 8:00,92.5,93.74999,91,93.033,3083.079791
2013/4/1 8:00,93.25,105.9,92.49999,103.999,5224.401313
2013/4/2 8:00,104,118.3867,99,118.2293541,8376.527478
2013/4/3 8:00,117.9582613,146.88,101.51088,134.7,12996.24507
2013/4/4 8:00,134.71656,143,119,132.899,6981.668305
2013/4/5 8:00,130.10001,145,128.25,142.3,5234.882203
2013/4/6 8:00,142.8,144,139,143.05,2009.128625
2013/4/7 8:00,143.5,164.75,142.75,162.304,3725.067645
2013/4/8 8:00,163.9,194.57,163.2,186.985,10895.82741
2013/4/9 8:00,186.8,249.97,186.8,232.99,6073.373146
2013/4/10 8:00,228.669,290,19.9,162,16070.64274
2013/4/11 8:00,162,205,1.06,100,16914.65632
2013/4/12 8:00,109,157,51,112,38693.9553
2013/4/13 8:00,112,130,81.12,91.1,23866.67705
2013/4/14 8:00,91.1,109,20,90.171,16437.21966
2013/4/15 8:00,89.86,104,71.497,83.302,16393.12856
2013/4/16 8:00,84.27,84.48,0.01,67.588,26092.54323
2013/4/17 8:00,68.135,98.9,63.5,93.063,20016.46739
2013/4/18 8:00,93,114,87,111.3,8362.104655
2013/4/19 8:00,110,142,104.56,119,20883.25111
2013/4/20 8:00,119.02,132,114.9,127,6502.719277
2013/4/21 8:00,127.01,130,110,117.618,11539.05619
2013/4/22 8:00,119.96,127.3,119.615,126.5,7053.397117
2013/4/23 8:00,127.389,144.47,124.859,143.484,11566.57797
2013/4/24 8:00,142.41,166.99,140.9,154.6,25884.62525
2013/4/25 8:00,155,169.13,120.03,141.9,21589.72101
2013/4/26 8:00,142.89,143.985,13,137.3,13279.17947
2013/4/27 8:00,136.56001,147.51,121.46,128.5,7773.997323
2013/4/28 8:00,128.8,136.99,128.02,135.28,7222.090083
2013/4/29 8:00,134.63,148.5,113.42,144,9491.692087
2013/4/30 8:00,143.89,146.6752,133.89,139.88,10916.45401
2013/5/1 8:00,139.87,140.02,105,116,23869.0626
2013/5/2 8:00,116.75,127.18,90.414,106.6,29911.74204
2013/5/3 8:00,107,108.21,80,98.06,32551.05153
2013/5/4 8:00,98.5,115.959,93.356,112.5,15470.54032
2013/5/5 8:00,112.3,126,100,116.57,13363.78071
2013/5/6 8:00,116.587,124.3,106,112,12263.03082
2013/5/7 8:00,112.1,113.44,98,110,15053.73044
2013/5/8 8:00,109.76,116.98,108.5,113.5,8804.378239
2013/5/9 8:00,113.495,113.5,108.23,112.669,3991.567867
2013/5/10 8:00,112.653,122.5,111.4,117.87,7579.663837
2013/5/11 8:00,117.92,118.9,112.72,115.576,3841.937087
2013/5/12 8:00,115.58,118,113,114.3,2745.733408
2013/5/13 8:00,115.97,118.97,114.07,117.979,2590.84616
2013/5/14 8:00,117.811,119.85,105.2,111.551,9787.138032
2013/5/15 8:00,110.7,117,103.45,108.95,9324.260079
2013/5/16 8:00,108.98,115.2,108.2,115,4796.423981
2013/5/17 8:00,115,122,112.35,117.62,5107.83676
2013/5/18 8:00,117.51,118.98,115.81001,118.52,2168.448581
2013/5/19 8:00,118.23,120.99,115.61,118.25,1327.452395
2013/5/20 8:00,118.23,118.94,116,118.09,881.0578576
2013/5/21 8:00,116.9,118.6,116.9,117,1897.548393
2013/5/22 8:00,117.9,120,117,119.11,2360.34984
2013/5/23 8:00,118.45,124.25,118.41,123.83,4024.65733
2013/5/24 8:00,123.84,130,122.4,128.7,7965.536714
2013/5/25 8:00,128.61,129.73,125.1,128.97,2715.805613
2013/5/26 8:00,128.97,133,128,130.24,2883.230136
2013/5/27 8:00,130.27,130.59,123,126.25,3535.315365
2013/5/28 8:00,125,127,123,125.5,2584.017189
2013/5/29 8:00,126.06,140.68,125.67,130.35,3558.616563
2013/5/30 8:00,130.35,131,124.15,126.7,4729.102657
2013/5/31 8:00,126.78,129.1,125.06,127.9,2267.478707
2013/6/1 8:00,127.73,129,127,128.77,815.1117393
2013/6/2 8:00,128.77,132.65,117,123.8,11892.97161
2013/6/3 8:00,123.41,132.87,117,123.1,4750.351646
2013/6/4 8:00,123.22,123.99,116.42,120.43,5195.531712
2013/6/5 8:00,120.3,122.37,119.6,121.19,1435.872281
2013/6/6 8:00,121.33,121.33,118,119.28,1260.707375
2013/6/7 8:00,118.4,119,107,111.07,9638.209809
2013/6/8 8:00,110.17,112.5,108.45,109.13,1943.222318
2013/6/9 8:00,108.99,110,89.9,100,15769.87202
2013/6/10 8:00,100,108,93,104.18,9456.966566
2013/6/11 8:00,104.68,108.03,103.4,107.36,3419.508262
2013/6/12 8:00,107.07,119,105,106.68,4657.073811
2013/6/13 8:00,106.28,109.14,95,102,5813.817441
2013/6/14 8:00,101.86,107.36,97,99,5295.678984
2013/6/15 8:00,99.01,104,96.22,99.42,2397.848889
2013/6/16 8:00,99.43,101.1,98.66,99,1192.210172
2013/6/17 8:00,99,101.01,98.3,100.49,1286.440208
2013/6/18 8:00,100.39,108.5,99.99,104.12,6069.104178
2013/6/19 8:00,104.49,107.5,102.99,104.99,2830.34656
2013/6/20 8:00,104.83,108,102.38,104.55,5580.156453
2013/6/21 8:00,103,105,91,101.29,5584.193995
2013/6/22 8:00,101.29,102.4,98.49,100.23,1390.418392
2013/6/23 8:00,100,101.5,98.6,100.4,796.2981048
2013/6/24 8:00,100.4,102.13,95.38,98.68,2801.047002
2013/6/25 8:00,99.35,100.9,97.5,97.58,3395.164344
2013/6/26 8:00,98.5,100,96.99,98.69,1466.127902
2013/6/27 8:00,98.01,98.72,96.31,96.31,1085.474733
2013/6/28 8:00,96.31,96.52,88.01,89.79,7594.032282
2013/6/29 8:00,89.2,91.6,86.15,88.8,1766.186361
2013/6/30 8:00,88.53,90.25,88.26,89.55,525.5426988
2013/7/1 8:00,89.58,91.56,1,83.5,10021.30521
2013/7/2 8:00,83.51,88.5,83.24,87.68,3732.32848
2013/7/3 8:00,89,89.56,75,77.402,8688.243453
2013/7/4 8:00,77.33,82,70.04,79.4,7081.448392
2013/7/5 8:00,79.4,79.4,64,67,13816.96118
2013/7/6 8:00,67,73.26,62.94,66.12,10426.96531
2013/7/7 8:00,66.12,74.07786,64.89,73.98,4403.96884
2013/7/8 8:00,73.96,77,70,74.35,8789.767706
2013/7/9 8:00,73.85,76.01,70.47,74.98,7041.325361
2013/7/10 8:00,74.93,87,74.83,86.12,10374.85242
