candle_end_time,open,high,low,close,volume
2020-11-12 08:00:00,463.09,470.0,451.2,462.39,990776.62912
2020-11-13 08:00:00,462.48,478.01,457.12,476.43,976665.09752
2020-11-14 08:00:00,476.42,477.47,452.0,460.89,735252.7854
2020-11-15 08:00:00,460.9,462.89,440.19,448.08,665217.56671
2020-11-16 08:00:00,448.07,466.0,445.45,460.55,812060.44638
2020-11-17 08:00:00,460.51,484.88,459.8,482.15,1151573.37456
2020-11-18 08:00:00,482.11,495.31,456.6,478.41,1477696.29116
2020-11-19 08:00:00,478.43,480.75,464.86,471.25,817418.52685
2020-11-20 08:00:00,471.26,514.4,470.65,510.12,1516361.90736
2020-11-21 08:00:00,510.12,553.32,502.82,552.35,1548851.29067
2020-11-22 08:00:00,552.42,580.88,511.28,560.03,1850317.93581
2020-11-23 08:00:00,560.03,610.85,550.12,608.58,2076008.84846
2020-11-24 08:00:00,608.58,623.0,585.0,604.97,1606450.49193
2020-11-25 08:00:00,604.98,606.0,553.83,569.5,1219440.02727
2020-11-26 08:00:00,569.38,577.14,481.0,519.83,2683460.74171
2020-11-27 08:00:00,519.83,530.62,493.72,518.68,1088064.28114
2020-11-28 08:00:00,518.59,547.94,506.59,537.52,900508.61431
2020-11-29 08:00:00,537.5,576.9,530.32,576.3,855276.46664
2020-11-30 08:00:00,576.32,616.85,570.07,616.66,1501989.45408
2020-12-01 08:00:00,616.65,635.7,560.0,585.26,2163875.81376
2020-12-02 08:00:00,585.26,604.93,575.0,596.89,1069538.65619
2020-12-03 08:00:00,596.88,623.44,585.82,615.85,935687.91723
2020-12-04 08:00:00,615.84,620.0,565.82,567.24,1052452.78666
2020-12-05 08:00:00,567.24,597.11,560.88,596.8,701567.95564
2020-12-06 08:00:00,596.82,607.5,583.0,601.54,602496.96339
2020-12-07 08:00:00,601.59,603.15,584.22,591.28,498329.37589
2020-12-08 08:00:00,591.27,595.0,549.22,554.94,804443.00717
2020-12-09 08:00:00,554.92,578.08,530.43,573.09,997192.16738
2020-12-10 08:00:00,573.2,575.7,548.11,558.99,608414.51466
2020-12-11 08:00:00,558.99,560.8,535.5,544.43,768921.78317
2020-12-12 08:00:00,544.46,574.0,543.1,568.04,573913.95311
2020-12-13 08:00:00,568.09,595.0,563.22,590.7,657794.46158
2020-12-14 08:00:00,590.81,591.48,575.6,586.29,493012.02706
2020-12-15 08:00:00,586.29,597.2,578.58,588.64,569270.52011
2020-12-16 08:00:00,588.78,640.0,580.71,637.18,1185588.05078
2020-12-17 08:00:00,637.18,676.25,625.76,642.7,2006130.01975
2020-12-18 08:00:00,642.71,664.61,629.4,653.85,1000012.98018
2020-12-19 08:00:00,653.76,669.95,645.42,658.03,858803.88459
2020-12-20 08:00:00,658.05,661.39,621.01,638.18,823958.22843
2020-12-21 08:00:00,638.1,648.0,595.9,607.58,843251.16565
2020-12-22 08:00:00,607.68,637.73,588.0,636.45,918851.25654
2020-12-23 08:00:00,636.41,638.44,551.28,585.56,1208807.36518
2020-12-24 08:00:00,585.48,615.02,565.43,612.31,886335.86333
2020-12-25 08:00:00,612.31,634.24,604.28,626.82,798009.62915
