candle_time,open,close,high,low,volume,ma,week,bias,invest_rate,smart_invest,normal_invest,si_share,ni_share,smart_share,normal_share,smart_capital,normal_capital,smart_invest_all,normal_invest_all,smart_rate,normal_rate
2013-04-30 08:00:00,143.89,139.88,146.6752,133.89,10916.45401098006,128.26049529258066,1,0.09059301292197239,0.9,,,0.0,,32.97828748940555,31.59526795250391,4613.002854018048,4419.546081196247,4100.0,,,
2013-05-01 08:00:00,139.87,116.0,140.02,105.0,23869.06259774011,127.87735481468751,2,-0.09288082969732589,1.1,,,0.0,,32.97828748940555,31.59526795250391,3825.481348771044,3665.0510824904536,4100.0,,,
2013-05-02 08:00:00,116.75,106.6,127.18,90.414,29911.74203578993,127.2325864869697,3,-0.1621643248530733,1.2,,,0.0,,32.97828748940555,31.59526795250391,3515.4854463706315,3368.0555637369166,4100.0,,,
2013-05-03 08:00:00,107.0,98.06,108.21,80.0,32551.051529309825,126.37456923735293,4,-0.22405274580341675,1.3,1300.0,1000.0,13.237333475617696,10.182564212013613,46.21562096502325,41.77783216451752,4531.90379183018,4096.734222052588,5400.0,5000.0,0.8392414429315148,0.8193468444105176
2013-05-04 08:00:00,98.5,112.5,115.959,93.356,15470.54031853008,125.97815297342856,5,-0.10698801859931531,1.2,,,0.0,,46.21562096502325,41.77783216451752,5199.257358565115,4700.006118508221,5400.0,,,
2013-05-05 08:00:00,112.3,116.57,126.0,100.0,13363.780708440054,125.71681539083335,6,-0.07275729473736171,1.1,,,0.0,,46.21562096502325,41.77783216451752,5387.354935892759,4870.041895417807,5400.0,,,
2013-05-06 08:00:00,116.587,112.0,124.3,106.0,12263.030821200064,125.34609065054055,0,-0.10647392815583588,1.2,,,0.0,,46.21562096502325,41.77783216451752,5176.149548082603,4679.117202425962,5400.0,,,
2013-05-07 08:00:00,112.1,110.0,113.44,98.0,15053.73044354,124.94224615973685,1,-0.11959322502201064,1.2,,,0.0,,46.21562096502325,41.77783216451752,5083.7183061525575,4595.5615380969275,5400.0,,,
2013-05-08 08:00:00,109.76,113.5,116.98,108.5,8804.37823946003,124.6488552325641,2,-0.08944209886053972,1.1,,,0.0,,46.21562096502325,41.77783216451752,5245.472979530139,4741.783950672739,5400.0,,,
2013-05-09 08:00:00,113.495,112.669,113.5,108.23,3991.567866890001,124.34935885175,3,-0.09393179795703965,1.1,,,0.0,,46.21562096502325,41.77783216451752,5207.067798508204,4707.066572144025,5400.0,,,
2013-05-10 08:00:00,112.653,117.87,122.5,111.4,7579.663836880023,124.1913257090244,4,-0.0508998971782862,1.1,1100.0,1000.0,9.3183377559435,8.471216141766819,55.53395872096675,50.24904830628434,6545.787714440351,5922.855323861735,6500.0,6000.0,1.007044263760054,0.9871425539769558
2013-05-11 08:00:00,117.92,115.576,118.9,112.72,3841.937086809995,123.98619890642857,5,-0.06783173434307546,1.1,,,0.0,,55.53395872096675,50.24904830628434,6418.392813134453,5807.584007047119,6500.0,,,
2013-05-12 08:00:00,115.58,114.3,118.0,113.0,2745.733407739998,123.7609384667442,6,-0.0764452708904308,1.1,,,0.0,,55.53395872096675,50.24904830628434,6347.5314818065,5743.466221408299,6500.0,,,
2013-05-13 08:00:00,115.97,117.979,118.97,114.07,2590.846160009995,123.62953077431817,0,-0.04570534838179591,1.1,,,0.0,,55.53395872096675,50.24904830628434,6551.840915940937,5928.332470127119,6500.0,,,
2013-05-14 08:00:00,117.811,111.551,119.85,105.2,9787.138031739994,123.36111897933333,1,-0.09573615314977706,1.1,,,0.0,,55.53395872096675,50.24904830628434,6194.868629282562,5605.331587614324,6500.0,,,
2013-05-15 08:00:00,110.7,108.95,117.0,103.45,9324.260079410044,123.04783378413043,2,-0.11457197864094895,1.2,,,0.0,,55.53395872096675,50.24904830628434,6050.424802649328,5474.633812969679,6500.0,,,
2013-05-16 08:00:00,108.98,115.0,115.2,108.2,4796.423981250004,122.8766032780851,3,-0.06410173351113363,1.1,,,0.0,,55.53395872096675,50.24904830628434,6386.405252911177,5778.640555222699,6500.0,,,
2013-05-17 08:00:00,115.0,117.62,122.0,112.35,5107.836759599999,122.76709070979166,4,-0.04192565515752776,1.1,1100.0,1000.0,9.338143779060196,8.48922161732745,64.87210250002695,58.73826992361179,7630.25669605317,6908.795308415219,7600.0,7000.0,1.0039811442175224,0.9869707583450312
2013-05-18 08:00:00,117.51,118.52,118.98,115.81001,2168.448581220001,122.68041538918368,5,-0.033912628808644325,1.1,,,0.0,,64.87210250002695,58.73826992361179,7688.641588303194,6961.6597513464685,7600.0,,,
2013-05-19 08:00:00,118.23,118.25,120.99,115.61,1327.4523954500005,122.5918070814,6,-0.03541678016473874,1.1,,,0.0,,64.87210250002695,58.73826992361179,7671.126120628187,6945.8004184670945,7600.0,,,
2013-05-20 08:00:00,118.23,118.09,118.94,116.0,881.0578576200011,122.50353635431372,0,-0.036027828139985826,1.1,,,0.0,,64.87210250002695,58.73826992361179,7660.746584228184,6936.402295279317,7600.0,,,
2013-05-21 08:00:00,116.9,117.0,118.6,116.9,1897.5483926199995,122.39769911673078,1,-0.044099677981552475,1.1,,,0.0,,64.87210250002695,58.73826992361179,7590.0359925031535,6872.377581062579,7600.0,,,
2013-05-22 08:00:00,117.9,119.11,120.0,117.0,2360.3498401400007,122.33566705792452,2,-0.02636734760597013,1.1,,,0.0,,64.87210250002695,58.73826992361179,7726.916128778211,6996.3153306014,7600.0,,,
2013-05-23 08:00:00,118.45,123.83,124.25,118.41,4024.657330149996,122.36333989018519,3,0.01198610720442138,0.9,,,0.0,,64.87210250002695,58.73826992361179,8033.112452578338,7273.559964640847,7600.0,,,
2013-05-24 08:00:00,123.84,128.7,130.0,122.4,7965.536714460045,122.47855189218181,4,0.05079622523047899,0.9,900.0,1000.0,6.982533193217168,7.758370214685742,71.85463569324412,66.49664013829754,9247.691613720517,8558.117585798893,8500.0,8000.0,1.0879637192612372,1.0697646982248616
2013-05-25 08:00:00,128.61,128.97,129.73,125.1,2715.8056130399978,122.59447060839285,5,0.052005032200617654,0.9,,,0.0,,71.85463569324412,66.49664013829754,9267.092365357694,8576.071678636234,8500.0,,,
2013-05-26 08:00:00,128.97,130.24,133.0,128.0,2883.2301361299924,122.72860270298246,6,0.061203314725223515,0.9,,,0.0,,71.85463569324412,66.49664013829754,9358.347752688114,8660.522411611872,8500.0,,,
2013-05-27 08:00:00,130.27,126.25,130.59,123.0,3535.3153651699963,122.78931644948275,0,0.028183914126934807,0.9,,,0.0,,71.85463569324412,66.49664013829754,9071.64775627207,8395.200817460063,8500.0,,,
2013-05-28 08:00:00,125.0,125.5,127.0,123.0,2584.017188629992,122.83526023847458,1,0.021693606187279217,0.9,,,0.0,,71.85463569324412,66.49664013829754,9017.756779502137,8345.32833735634,8500.0,,,
2013-05-29 08:00:00,126.06,130.35,140.68,125.67,3558.616562520001,122.96050590116667,2,0.060096484189588975,0.9,,,0.0,,71.85463569324412,66.49664013829754,9366.25176261437,8667.837042027084,8500.0,,,
2013-05-30 08:00:00,130.35,126.7,131.0,124.15,4729.102657070001,123.02180908311475,3,0.029898689868885234,0.9,,,0.0,,71.85463569324412,66.49664013829754,9103.98234233403,8425.124305522299,8500.0,,,
2013-05-31 08:00:00,126.78,127.9,129.1,125.06,2267.478706539997,123.1004895817742,4,0.03898855670299792,0.9,900.0,1000.0,7.026208146732207,7.806897940813563,78.88084383997632,74.30353807911109,10088.859927132971,9503.422520318309,9400.0,9000.0,1.0732829709715928,1.0559358355909232
2013-06-01 08:00:00,127.73,128.77,129.0,127.0,815.1117393199993,123.19048181063492,5,0.04529179614657059,0.9,,,0.0,,78.88084383997632,74.30353807911109,10157.486261273752,9568.066598447136,9400.0,,,
2013-06-02 08:00:00,128.77,123.8,132.65,117.0,11892.971611849993,123.20000553234375,6,0.004870084746049205,0.9,,,0.0,,78.88084383997632,74.30353807911109,9765.44846738907,9198.778014193953,9400.0,,,
2013-06-03 08:00:00,123.41,123.1,132.87,117.0,4750.35164634001,123.1984669856923,0,-0.000799254959103894,1.1,,,0.0,,78.88084383997632,74.30353807911109,9710.231876701086,9146.765537538575,9400.0,,,
2013-06-04 08:00:00,123.22,120.43,123.99,116.42,5195.531711939987,123.15652051621213,1,-0.022138661475526213,1.1,,,0.0,,78.88084383997632,74.30353807911109,9499.62002364835,8948.37509086735,9400.0,,,
2013-06-05 08:00:00,120.3,121.19,122.37,119.6,1435.8722807399988,123.12716946373135,2,-0.015733078833603566,1.1,,,0.0,,78.88084383997632,74.30353807911109,9559.569464966731,9004.845779807472,9400.0,,,
2013-06-06 08:00:00,121.33,119.28,121.33,118.0,1260.7073753199977,123.07059344220588,3,-0.03080015571701897,1.1,,,0.0,,78.88084383997632,74.30353807911109,9408.907053232375,8862.926022076372,9400.0,,,
2013-06-07 08:00:00,118.4,111.07,119.0,107.0,9638.209809370004,122.89667179811595,4,-0.09623264507556226,1.1,1100.0,1000.0,9.88883110914793,8.989846462861752,88.76967494912425,83.29338454197284,9859.64779659923,9251.396221076922,10500.0,10000.0,0.9390140758665934,0.9251396221076922
2013-06-08 08:00:00,110.17,109.13,112.5,108.45,1943.2223178199813,122.70000505814285,5,-0.11059498368979322,1.2,,,0.0,,88.76967494912425,83.29338454197284,9687.434627197928,9089.807055065496,10500.0,,,
2013-06-09 08:00:00,108.99,100.0,110.0,89.9,15769.872015019935,122.38028667704225,6,-0.18287493259517462,1.2,,,0.0,,88.76967494912425,83.29338454197284,8876.967494912426,8329.338454197285,10500.0,,,
