candle_end_time,coin1_open,coin1_close,coin1_pct,coin2_open,coin2_close,coin2_pct,coin1_mom,coin2_mom,pos,trade_time,strategy_pct_adjust,coin1_net,coin2_net,strategy_net,total_capital_turn,week,normal_invest,normal_invest_all,normal_pct_adjust,normal_capital,total_capital,strategy_net_normal
2021-02-10 08:00:00,46420.42,44807.58,-0.0347441923188113,1769.14,1740.78,-0.0160248257618151,0.4524275910668771,0.5669151004536617,coin1,,-0.0371573318380142,1.1363172507397494,1.4211957187293347,1.385047630653342,108033.71519096066,2,,5000.0,,0.0,6246.475886367174,1.2492951772734349
2021-02-11 08:00:00,44807.58,47969.51,0.0705668549830185,1740.76,1785.62,0.0257585679982537,0.4560407489170643,0.4486378608167967,coin2,2021-02-11 08:00:00,0.0231941715782582,1.2165035853874036,1.457803685289051,1.4171726630427754,110539.46771733648,3,,5000.0,,0.0,6391.357719835027,1.2782715439670054
2021-02-12 08:00:00,47968.66,47287.6,-0.0142154881298558,1785.83,1840.26,0.0306000156808279,0.4741442733337488,0.4917801556420234,coin1,2021-02-12 08:00:00,-0.0166799494095311,1.1992103931094018,1.502412500918465,1.3935342947186515,108695.67498805482,4,,5000.0,,0.0,6284.750196409962,1.2569500392819923
2021-02-13 08:00:00,47298.15,47153.69,-0.0028318206041328,1840.24,1814.96,-0.0137480573397237,0.4616812203385627,0.3033730457950032,coin2,2021-02-13 08:00:00,-0.0162136871963743,1.1958144444095042,1.4817572477079202,1.3709399655666632,106933.31731419972,5,,5000.0,,0.0,6182.851222618018,1.2365702445236038
2021-02-14 08:00:00,47156.78,48577.79,0.0302012419388599,1815.25,1800.42,-0.0080111958390267,0.5060919198119935,0.3661486630042188,coin1,2021-02-14 08:00:00,0.0275648248046702,1.231929525759099,1.4698866002106348,1.408729685535229,109880.91547174784,6,1000.0,6000.0,0.0275648248046702,1027.5648248046705,7380.845258167496,1.2301408763612494
2021-02-15 08:00:00,48580.47,47911.1,-0.0137241731252081,1800.03,1779.25,-0.0117583674920296,0.4756510841366683,0.3025542288630056,coin1,,-0.0137241731252081,1.2150223116695256,1.452603133393748,1.389396035444323,108372.89076465722,0,,6000.0,,0.0,7279.549260034033,1.2132582100056721
2021-02-16 08:00:00,47911.1,49133.45,0.0255128769742292,1779.33,1781.99,0.0015399747084445,0.6180335669816555,0.4382137639928007,coin1,,0.0255128769742292,1.246021026428094,1.4548401054805815,1.4248435255650962,111137.7949940775,1,,6000.0,,0.0,7465.271504733123,1.2442119174555204
2021-02-17 08:00:00,49133.45,52119.71,0.0607785531038427,1781.99,1849.88,0.0380978568903305,0.5621138527180991,0.3912114853838113,coin1,,0.0607785531038427,1.3217523815513583,1.5102663956174944,1.511443453448321,117892.58936896904,2,,6000.0,,0.0,7918.999905318149,1.3198333175530248
2021-02-18 08:00:00,52117.67,51552.6,-0.0108809124225749,1849.7,1939.61,0.048505849028045,0.5050887242279329,0.4060239217107646,coin1,,-0.0108809124225749,1.3073705096433683,1.583523149395446,1.4949975695996756,116609.8104287747,3,,6000.0,,0.0,7832.833960874003,1.3054723268123338
2021-02-19 08:00:00,51552.61,55906.0,0.0844457893491308,1938.91,1955.0,0.0079345847876635,0.6316783644573953,0.4186713109103444,coin1,,0.0844457893491308,1.417772444301978,1.5960877480875524,1.6212438194395524,126457.01791628508,4,,6000.0,,0.0,8494.283807540687,1.4157139679234478
2021-02-20 08:00:00,55906.0,55841.19,-0.001159267341609,1955.46,1913.0,-0.0214833759590792,0.6874028872588687,0.4574682869224029,coin1,,-0.001159267341609,1.4161288670094654,1.5617983949317071,1.6193643644268905,126310.42042529746,5,,6000.0,,0.0,8484.436661732247,1.4140727769553745
2021-02-21 08:00:00,55841.19,57408.57,0.0280685279092367,1912.9,1933.53,0.0107318348144276,0.7123407634050449,0.4070529847107706,coin1,,0.0280685279092367,1.4558775196361966,1.5785593573195524,1.66481753828503,129855.76798623234,6,1000.0,7000.0,0.0255047659942513,1025.504765994251,9748.087074960482,1.3925838678514975
2021-02-22 08:00:00,57412.35,54087.67,-0.0578467639935988,1933.54,1777.58,-0.0806555884832405,0.5250466358993793,0.1757492376990086,coin1,,-0.0578467639935988,1.3716597163542157,1.451239723399218,1.5685132310554517,122344.03202232523,0,,7000.0,,0.0,9184.191782546191,1.3120273975065988
2021-02-23 08:00:00,54087.67,48891.0,-0.0960786441715828,1777.42,1577.89,-0.1123381226161409,0.2996403134916066,-0.0520279485007418,coin1,,-0.0960786441715828,1.2398725105421244,1.2882101774065822,1.4178126064504553,110589.38330313552,1,,7000.0,,0.0,8301.787088267361,1.1859695840381945
2021-02-24 08:00:00,48891.0,49676.2,0.0160602155815998,1577.79,1623.39,0.0288359771593711,0.3449023273896447,0.0173720130102088,coin1,,0.0160602155815998,1.2597851303551304,1.3253569766587476,1.4405829825643597,112365.47264002006,2,,7000.0,,0.0,8435.115578617477,1.205016511231068
2021-02-25 08:00:00,49676.21,47073.73,-0.0523886690205771,1623.16,1481.75,-0.0872495210639464,0.2293923986895878,-0.1381115525334605,coin1,,-0.0523886690205771,1.1937866641239108,1.209720215206512,1.3651127574941195,106478.79508454131,3,,7000.0,,0.0,7993.211100418972,1.141887300059853
2021-02-26 08:00:00,47073.73,46276.87,-0.0169279128719989,1482.08,1444.59,-0.0250784545301164,0.1809258390678119,-0.1382527515137054,coin1,,-0.0169279128719989,1.173578347485867,1.179382301795293,1.3420042476748049,104676.33131863478,4,,7000.0,,0.0,7857.902719343585,1.122557531334798
2021-02-27 08:00:00,46276.88,46106.43,-0.0036830494370082,1444.56,1458.13,0.0093729016537564,0.1884420666316284,-0.0952395726039635,coin1,,-0.0036830494370082,1.169256000413874,1.190436536122201,1.3370615796859435,104290.8032155036,5,,7000.0,,0.0,7828.961675157041,1.1184230964510058
2021-02-28 08:00:00,46103.67,45135.66,-0.0210549808345603,1458.27,1419.18,-0.0267122958858263,-0.0267215843408293,-0.18910950489958,coin1,,-0.0235023433824739,1.1446373377344654,1.1586372431360064,1.3056374993166515,101839.7249466988,6,1000.0,8000.0,-0.0234377817560069,976.562218243993,8621.524947783266,1.0776906184729083
2021-03-01 08:00:00,45134.11,49587.03,0.0986220208145842,1418.67,1569.86,0.1061739877957692,0.068215884302641,-0.1126372849931888,empty,2021-03-01 08:00:00,0.0,1.257523785081664,1.2816543796484523,1.3056374993166515,101839.7249466988,0,,8000.0,,0.0,8621.524947783266,1.0776906184729083
2021-03-02 08:00:00,49595.76,48440.65,-0.0231185453131594,1570.0,1486.78,-0.0529219166040283,0.0810815937839088,-0.1459116028447018,coin1,2021-03-02 08:00:00,-0.0257261835676106,1.228451664473878,1.2138267734535095,1.272048429336475,99219.77748824506,1,,8000.0,,0.0,8399.726014343858,1.0499657517929823
2021-03-03 08:00:00,48436.61,50349.37,0.0394032697744559,1486.79,1567.69,0.0544196182353811,0.0496119305784028,-0.122047244094488,coin1,,0.0394032697744559,1.2768566768140217,1.279882763068734,1.3221712967637933,103129.36114757588,2,,8000.0,,0.0,8730.702684518565,1.0913378355648207
