candle_time,open,high,low,close,volume,ma,week,bias,invest_rate,smart_invest,normal_invest,si_share,ni_share,smart_share,normal_share,smart_capital,normal_capital,smart_invest_all,normal_invest_all,smart_rate,normal_rate
2017-12-17 08:00:00,19209.0,19891.0,18622.0,18960.0,51803.97213,4532.260316288,6,3.183343117309857,0.3999999999999999,,,0.0,,0.0,,0.0,,,,,
2017-12-18 08:00:00,18956.0,19175.0,18010.0,18928.0,53568.533,4603.062716287999,0,3.1120447768445603,0.3999999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,,
2017-12-19 08:00:00,18924.0,18987.0,16400.0,17345.0,66651.94722,4667.695116288,1,2.7159667818650655,0.3999999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,,
2017-12-20 08:00:00,17344.0,17709.0,15500.0,16425.0,82156.93475,4728.567916288,2,2.473567534775705,0.3999999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,,
2017-12-21 08:00:00,16425.0,17333.0,14801.0,15645.0,65594.82858,4786.374716287999,3,2.268653402074889,0.3999999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,,
2017-12-22 08:00:00,15645.0,15842.43,10700.0,13173.0,178636.9659,4834.218716287999,4,1.7249491123800482,0.3999999999999999,399.9999999999999,1000.0,0.03031966132635101,0.07579915331587754,0.03031966132635101,0.07579915331587754,399.40089865202185,998.5022466300549,399.9999999999999,1000.0,0.9985022466300549,0.9985022466300548
2017-12-23 08:00:00,13173.0,14999.0,12521.0,14035.0,59929.24368,4885.398716287999,5,1.8728463765315775,0.3999999999999999,,,0.0,,0.03031966132635101,0.07579915331587754,425.5364467153364,1063.8411167883412,399.9999999999999,,,
2017-12-24 08:00:00,14036.0,14050.0,11600.0,13477.0,72382.27825,4934.245116288,6,1.7313195194767015,0.3999999999999999,,,0.0,,0.03031966132635101,0.07579915331587754,408.61807569523256,1021.5451892380817,399.9999999999999,,,
2017-12-25 08:00:00,13503.0,14278.0,12675.0,13633.0,45609.51554,4983.7351162879995,0,1.7354985130417948,0.3999999999999999,,,0.0,,0.03031966132635101,0.07579915331587754,413.3479428621433,1033.3698571553584,399.9999999999999,,,
2017-12-26 08:00:00,13634.0,16060.0,13531.0,15680.0,63432.82131,5041.221116287999,1,2.1103575182089314,0.3999999999999999,,,0.0,,0.03031966132635101,0.07579915331587754,475.4122895971838,1188.5307239929598,399.9999999999999,,,
